,Samlpe,Type,TMB.score,Genes
78,TCGA-PK-A5HB-01,ACC,24.961351901,7.53443559199794
79,TCGA-2F-A9KO-01,BLCA,13.749050327,6.92619386552147
80,TCGA-2F-A9KP-01,BLCA,3.8784886475,7.00246310793129
81,TCGA-2F-A9KQ-01,BLCA,1.8042076287,6.94909807341431
82,TCGA-2F-A9KR-01,BLCA,5.9248570919,7.27883191232972
83,TCGA-2F-A9KT-01,BLCA,9.6060379009,7.34743795829233
84,TCGA-2F-A9KW-01,BLCA,2.6594782265,7.16396166891494
85,TCGA-4Z-AA7M-01,BLCA,14.209659219,8.17332275845712
86,TCGA-4Z-AA7N-01,BLCA,0.3107688138,6.34394303642971
87,TCGA-4Z-AA7O-01,BLCA,4.7292833818,7.09998955554688
88,TCGA-4Z-AA7Q-01,BLCA,6.3930414061,6.51641028092637
89,TCGA-4Z-AA7R-01,BLCA,9.5655443207,8.34170453882729
90,TCGA-4Z-AA7S-01,BLCA,1.6970744699,7.04999236788232
91,TCGA-4Z-AA7W-01,BLCA,14.470920351,6.39480184905167
92,TCGA-4Z-AA7Y-01,BLCA,7.8281225609,7.33403263345782
93,TCGA-4Z-AA80-01,BLCA,10.967704797,7.82081240482562
94,TCGA-4Z-AA81-01,BLCA,5.7202472488,7.29528032825584
95,TCGA-4Z-AA82-01,BLCA,2.8079702175,7.01283154291405
96,TCGA-4Z-AA83-01,BLCA,2.2646128097,6.29532885979101
97,TCGA-4Z-AA84-01,BLCA,12.011274828,7.68361410547057
98,TCGA-4Z-AA86-01,BLCA,5.5334611624,7.47707736000175
99,TCGA-4Z-AA87-01,BLCA,6.8357617715,6.80768590837727
100,TCGA-4Z-AA89-01,BLCA,3.5403960108,6.33362636760824
101,TCGA-5N-A9KI-01,BLCA,4.5388527231,7.22442273912457
102,TCGA-5N-A9KM-01,BLCA,5.7964921668,5.76355256804408
103,TCGA-BL-A13J-01,BLCA,2.6288107324,7.32036145720327
104,TCGA-BL-A3JM-01,BLCA,5.200362517,7.85958110379049
105,TCGA-BL-A5ZZ-01,BLCA,4.0474677901,7.15078723382989
106,TCGA-BT-A0S7-01,BLCA,1.0189701099,7.29223709435988
107,TCGA-BT-A0YX-01,BLCA,16.191781388,6.75560667609024
108,TCGA-BT-A20J-01,BLCA,12.299818925,5.80084323940929
109,TCGA-BT-A20N-01,BLCA,6.639342488,8.46884305168556
110,TCGA-BT-A20O-01,BLCA,4.6035162566,7.43221192018535
111,TCGA-BT-A20P-01,BLCA,2.5890283861,6.88455824530527
112,TCGA-BT-A20Q-01,BLCA,2.7020403875,6.75473357695956
113,TCGA-BT-A20R-01,BLCA,6.8524967293,7.11526758032719
114,TCGA-BT-A20T-01,BLCA,6.7238187238,7.21644965488373
115,TCGA-BT-A20U-01,BLCA,2.2006850522,7.54095975365228
116,TCGA-BT-A20V-01,BLCA,2.6947073676,8.18228526246464
